date,site,plot,treatment,sp,ID,leaves_tot,leaves_infec,Bp_spots,scan,microbiome,field_notes
20190604,D1,9,water,Mv,1,4,0,0,1,0,
20190604,D1,9,water,Mv,2,5,1,0,1,0,
20190604,D1,9,water,Mv,3,5,0,0,1,0,
20190604,D1,10,water,Mv,1,6,1,1,1,0,
20190604,D1,10,water,Mv,2,6,0,0,1,0,
20190604,D1,10,water,Mv,3,5,0,0,1,0,
20190604,D2,1,fungicide,Mv,1,6,0,0,1,0,
20190604,D2,1,fungicide,Mv,2,5,0,0,1,0,
20190604,D2,1,fungicide,Mv,3,4,1,1,1,0,
20190604,D2,2,fungicide,Mv,1,6,0,0,1,0,
20190604,D2,2,fungicide,Mv,2,6,0,0,1,0,
20190604,D2,2,fungicide,Mv,3,5,0,0,1,0,
20190604,D2,3,fungicide,Mv,1,5,0,0,1,0,
20190604,D2,3,fungicide,Mv,2,3,0,0,1,0,
20190604,D2,3,fungicide,Mv,3,2,0,0,1,0,
20190604,D2,4,fungicide,Mv,1,6,1,1,1,0,
20190604,D2,4,fungicide,Mv,2,5,0,0,1,0,
20190604,D2,4,fungicide,Mv,3,7,0,0,1,0,
20190604,D2,5,fungicide,Mv,1,5,0,0,1,0,
20190604,D2,5,fungicide,Mv,2,5,0,0,1,0,
20190604,D2,5,fungicide,Mv,3,6,0,0,1,0,
20190604,D2,6,fungicide,Mv,1,6,1,1,1,0,
20190604,D2,6,fungicide,Mv,2,5,0,0,1,0,
20190604,D2,6,fungicide,Mv,3,5,1,1,1,0,
20190604,D2,7,fungicide,Mv,1,7,0,0,1,0,
20190604,D2,7,fungicide,Mv,2,6,0,0,1,0,
20190604,D2,7,fungicide,Mv,3,7,0,0,1,0,
20190604,D2,8,fungicide,Mv,1,5,0,0,1,0,
20190604,D2,8,fungicide,Mv,2,3,0,0,1,0,
20190604,D2,8,fungicide,Mv,3,4,0,0,1,0,
20190604,D2,9,fungicide,Mv,1,4,0,0,1,0,
20190604,D2,9,fungicide,Mv,2,6,0,0,1,0,
20190604,D2,9,fungicide,Mv,3,5,0,0,1,0,
20190604,D2,10,fungicide,Mv,1,7,0,0,1,0,
20190604,D2,10,fungicide,Mv,2,7,0,0,1,0,
20190604,D2,10,fungicide,Mv,3,6,0,0,1,0,
20190604,D2,1,water,Mv,1,6,0,0,1,0,
20190604,D2,1,water,Mv,2,7,0,0,1,0,
20190604,D2,1,water,Mv,3,6,0,0,1,0,
20190604,D2,2,water,Mv,1,4,0,0,1,0,
20190604,D2,2,water,Mv,2,4,0,0,1,0,
20190604,D2,2,water,Mv,3,5,0,0,1,0,
20190604,D2,3,water,Mv,1,5,0,0,1,0,
20190604,D2,3,water,Mv,2,6,0,0,1,0,
20190604,D2,3,water,Mv,3,7,0,0,1,0,
20190604,D2,4,water,Mv,1,6,0,0,1,0,
20190604,D2,4,water,Mv,2,4,0,0,1,0,
20190604,D2,4,water,Mv,3,6,0,0,1,0,
20190604,D2,5,water,Mv,1,4,0,0,1,0,
20190604,D2,5,water,Mv,2,5,0,0,1,0,
20190604,D2,5,water,Mv,3,4,0,0,1,0,
20190604,D2,6,water,Mv,1,7,0,0,1,0,
20190604,D2,6,water,Mv,2,6,0,0,1,0,
20190604,D2,6,water,Mv,3,6,0,0,1,0,
20190604,D2,7,water,Mv,1,5,1,1,1,0,
20190604,D2,7,water,Mv,2,6,0,0,1,0,
20190604,D2,7,water,Mv,3,5,0,0,1,0,
20190604,D2,8,water,Mv,1,6,1,1,1,0,
20190604,D2,8,water,Mv,2,5,1,1,1,0,
20190604,D2,8,water,Mv,3,5,1,1,1,0,
20190604,D2,9,water,Mv,1,6,0,0,1,0,
20190604,D2,9,water,Mv,2,6,1,1,1,0,
20190604,D2,9,water,Mv,3,5,0,0,1,0,
20190604,D2,10,water,Mv,1,7,0,0,1,0,
20190604,D2,10,water,Mv,2,8,0,0,1,0,
20190604,D2,10,water,Mv,3,6,0,0,1,0,
20190604,D3,1,fungicide,Mv,1,5,0,0,1,0,
20190604,D3,1,fungicide,Mv,2,6,0,0,1,0,
20190604,D3,1,fungicide,Mv,3,6,1,0,1,0,maybe bp
20190605,D3,2,fungicide,Mv,1,6,0,0,1,0,
20190605,D3,2,fungicide,Mv,2,6,1,0,1,0,maybe bp
20190605,D3,2,fungicide,Mv,3,5,0,0,1,0,
20190604,D3,3,fungicide,Mv,1,4,0,0,1,0,
20190604,D3,3,fungicide,Mv,2,5,0,0,1,0,
20190604,D3,3,fungicide,Mv,3,7,0,0,1,0,
20190605,D3,4,fungicide,Mv,1,6,1,1,1,0,
20190605,D3,4,fungicide,Mv,2,5,0,0,1,0,
20190605,D3,4,fungicide,Mv,3,5,0,0,1,0,
20190604,D3,5,fungicide,Mv,1,5,1,1,1,0,
20190604,D3,5,fungicide,Mv,2,5,1,0,1,0,maybe bp
20190604,D3,5,fungicide,Mv,3,6,1,0,1,0,maybe bp
20190605,D3,6,fungicide,Mv,1,5,0,0,1,0,
20190605,D3,6,fungicide,Mv,2,6,0,0,1,0,
20190605,D3,6,fungicide,Mv,3,7,0,0,1,0,
20190605,D3,7,fungicide,Mv,1,6,0,0,1,0,
20190605,D3,7,fungicide,Mv,2,5,0,0,1,0,
20190605,D3,7,fungicide,Mv,3,5,0,0,1,0,
20190605,D3,8,fungicide,Mv,1,5,0,0,1,0,
20190605,D3,8,fungicide,Mv,2,6,0,0,1,0,
20190605,D3,8,fungicide,Mv,3,5,1,0,1,0,maybe bp
20190605,D3,9,fungicide,Mv,1,6,0,0,1,0,
20190605,D3,9,fungicide,Mv,2,7,0,0,1,0,
20190605,D3,9,fungicide,Mv,3,7,1,0,1,0,
20190605,D3,10,fungicide,Mv,1,5,0,0,1,0,
20190605,D3,10,fungicide,Mv,2,5,1,1,1,0,
20190605,D3,10,fungicide,Mv,3,7,0,0,1,0,
20190604,D3,1,water,Mv,1,6,2,0,1,0,maybe bp
20190604,D3,1,water,Mv,2,7,2,0,1,0,maybe bp
20190604,D3,1,water,Mv,3,7,3,0,1,0,maybe bp
20190605,D3,2,water,Mv,1,3,1,0,1,0,maybe bp
20190605,D3,2,water,Mv,2,6,1,0,1,0,maybe bp
20190605,D3,2,water,Mv,3,2,1,0,1,0,maybe bp
20190605,D3,3,water,Mv,1,6,0,0,1,0,
20190605,D3,3,water,Mv,2,5,1,0,1,0,maybe bp
20190605,D3,3,water,Mv,3,6,0,0,1,0,
20190605,D3,4,water,Mv,1,6,0,0,1,0,
20190605,D3,4,water,Mv,2,2,0,0,1,0,
20190605,D3,4,water,Mv,3,7,1,0,1,0,maybe bp
20190605,D3,5,water,Mv,1,6,2,0,1,0,maybe bp
20190605,D3,5,water,Mv,2,3,1,0,1,0,maybe bp
20190605,D3,5,water,Mv,3,6,3,0,1,0,maybe bp
20190605,D3,6,water,Mv,1,5,0,0,1,0,
20190605,D3,6,water,Mv,2,7,1,0,1,0,maybe bp
20190605,D3,6,water,Mv,3,3,1,0,1,0,maybe bp
20190605,D3,7,water,Mv,1,6,2,0,1,0,maybe bp
20190605,D3,7,water,Mv,2,6,5,0,1,0,maybe bp
20190605,D3,7,water,Mv,3,4,3,0,1,0,maybe bp
20190605,D3,8,water,Mv,1,7,1,0,1,0,maybe bp
20190605,D3,8,water,Mv,2,4,0,0,1,0,
20190605,D3,8,water,Mv,3,5,0,0,1,0,
20190604,D3,9,water,Mv,1,5,2,0,1,0,maybe bp
20190604,D3,9,water,Mv,2,7,3,0,1,0,maybe bp
20190604,D3,9,water,Mv,3,6,3,0,1,0,maybe bp
20190604,D3,10,water,Mv,1,5,3,0,1,0,maybe bp
20190604,D3,10,water,Mv,2,5,3,0,1,0,maybe bp
20190604,D3,10,water,Mv,3,6,3,0,1,0,maybe bp
20190605,D4,1,fungicide,Mv,1,6,0,0,1,0,
20190605,D4,1,fungicide,Mv,2,7,0,0,1,0,
20190605,D4,1,fungicide,Mv,3,4,0,0,1,0,
20190605,D4,2,fungicide,Mv,1,5,0,0,1,0,
20190605,D4,2,fungicide,Mv,2,6,0,0,1,0,
20190605,D4,2,fungicide,Mv,3,4,0,0,1,0,
20190605,D4,3,fungicide,Mv,1,7,0,0,1,0,
20190605,D4,3,fungicide,Mv,2,3,0,0,1,0,
20190605,D4,3,fungicide,Mv,3,6,1,0,1,0,maybe bp
20190605,D4,4,fungicide,Mv,1,7,0,0,1,0,
20190605,D4,4,fungicide,Mv,2,8,0,0,1,0,
20190605,D4,4,fungicide,Mv,3,7,0,0,1,0,
20190605,D4,5,fungicide,Mv,1,5,0,0,1,0,
20190605,D4,5,fungicide,Mv,2,5,0,0,1,0,
20190605,D4,5,fungicide,Mv,3,6,1,1,1,0,
20190605,D4,6,fungicide,Mv,1,3,0,0,1,0,
20190605,D4,6,fungicide,Mv,2,6,0,0,1,0,
20190605,D4,6,fungicide,Mv,3,5,0,0,1,0,
20190605,D4,7,fungicide,Mv,1,5,0,0,1,0,
20190605,D4,7,fungicide,Mv,2,2,0,0,1,0,
20190605,D4,7,fungicide,Mv,3,2,0,0,1,0,
20190605,D4,8,fungicide,Mv,1,5,0,0,1,0,
20190605,D4,8,fungicide,Mv,2,4,0,0,1,0,
20190605,D4,8,fungicide,Mv,3,3,0,0,1,0,
20190605,D4,9,fungicide,Mv,1,7,0,0,1,0,
20190605,D4,9,fungicide,Mv,2,7,0,0,1,0,
20190605,D4,9,fungicide,Mv,3,7,1,1,1,0,
20190605,D4,10,fungicide,Mv,1,6,0,0,1,0,
20190605,D4,10,fungicide,Mv,2,6,0,0,1,0,
20190605,D4,10,fungicide,Mv,3,5,0,0,1,0,
20190605,D4,1,water,Mv,1,2,1,1,1,0,
20190605,D4,1,water,Mv,2,5,2,0,1,0,maybe bp
20190605,D4,1,water,Mv,3,0,0,0,0,0,dead
20190605,D4,2,water,Mv,1,7,0,0,1,0,
20190605,D4,2,water,Mv,2,4,1,0,1,0,maybe bp
20190605,D4,2,water,Mv,3,6,0,0,1,0,
20190605,D4,3,water,Mv,1,5,1,0,1,0,maybe bp
20190605,D4,3,water,Mv,2,6,0,0,1,0,
20190605,D4,3,water,Mv,3,6,0,0,1,0,
20190605,D4,4,water,Mv,1,6,0,0,1,0,
20190605,D4,4,water,Mv,2,6,0,0,1,0,
20190605,D4,4,water,Mv,3,6,0,0,1,0,
20190605,D4,5,water,Mv,1,4,0,0,1,0,
20190605,D4,5,water,Mv,2,5,0,0,1,0,
20190605,D4,5,water,Mv,3,6,0,0,1,0,
20190605,D4,6,water,Mv,1,5,0,0,1,0,
20190605,D4,6,water,Mv,2,4,0,0,1,0,
20190605,D4,6,water,Mv,3,6,0,0,1,0,
20190605,D4,7,water,Mv,1,6,1,1,1,0,
20190605,D4,7,water,Mv,2,7,1,1,1,0,
20190605,D4,7,water,Mv,3,6,1,0,1,0,maybe bp
20190605,D4,8,water,Mv,1,5,3,0,1,0,maybe bp
20190605,D4,8,water,Mv,2,4,0,0,1,0,
20190605,D4,8,water,Mv,3,5,3,0,1,0,maybe bp
20190605,D4,9,water,Mv,1,5,2,0,1,0,maybe bp
20190605,D4,9,water,Mv,2,5,1,0,1,0,maybe bp
20190605,D4,9,water,Mv,3,7,0,0,1,0,
20190605,D4,10,water,Mv,1,5,0,0,1,0,
20190605,D4,10,water,Mv,2,5,0,0,1,0,
20190605,D4,10,water,Mv,3,2,0,0,1,0,
20190604,D1,1,fungicide,Ev,1,4,0,0,1,0,
20190604,D1,1,fungicide,Ev,2,2,0,0,1,0,
20190604,D1,1,fungicide,Ev,3,3,0,0,1,0,
20190604,D1,1,fungicide,Ev,A,4,1,0,1,0,
20190604,D1,2,fungicide,Ev,1,2,1,0,1,0,
20190604,D1,2,fungicide,Ev,2,4,0,0,1,0,
20190604,D1,2,fungicide,Ev,3,6,0,0,1,0,
20190604,D1,2,fungicide,Ev,A,2,2,0,1,0,
20190604,D1,3,fungicide,Ev,1,4,0,0,1,0,
20190604,D1,3,fungicide,Ev,2,2,0,0,1,0,
20190604,D1,3,fungicide,Ev,3,6,0,0,1,0,
20190604,D1,3,fungicide,Ev,A,3,0,0,1,0,
20190604,D1,4,fungicide,Ev,1,4,1,1,1,0,
20190604,D1,4,fungicide,Ev,2,6,0,0,1,0,
20190604,D1,4,fungicide,Ev,3,3,2,0,1,0,
20190604,D1,4,fungicide,Ev,A,7,1,0,1,0,
20190604,D1,5,fungicide,Ev,1,5,2,1,1,0,
20190604,D1,5,fungicide,Ev,2,6,1,1,1,0,
20190604,D1,5,fungicide,Ev,3,7,1,0,1,0,
20190604,D1,5,fungicide,Ev,A,2,1,1,1,0,
20190604,D1,6,fungicide,Ev,1,5,0,0,1,0,
20190604,D1,6,fungicide,Ev,2,6,0,0,1,0,
20190604,D1,6,fungicide,Ev,3,5,1,0,1,0,
20190604,D1,6,fungicide,Ev,A,6,1,0,1,0,
20190604,D1,7,fungicide,Ev,1,3,0,0,1,0,
20190604,D1,7,fungicide,Ev,2,5,0,0,1,0,
20190604,D1,7,fungicide,Ev,3,5,0,0,1,0,
20190604,D1,7,fungicide,Ev,A,5,0,0,1,0,
20190604,D1,8,fungicide,Ev,1,5,1,0,1,0,
20190604,D1,8,fungicide,Ev,2,2,0,0,1,0,
20190604,D1,8,fungicide,Ev,3,7,0,0,1,0,
20190604,D1,8,fungicide,Ev,A,3,0,0,1,0,
20190604,D1,9,fungicide,Ev,1,5,0,0,1,0,
20190604,D1,9,fungicide,Ev,2,4,1,0,1,0,
20190604,D1,9,fungicide,Ev,3,4,1,0,1,0,
20190604,D1,9,fungicide,Ev,A,4,1,0,1,0,
20190604,D1,10,fungicide,Ev,1,2,2,0,1,0,
20190604,D1,10,fungicide,Ev,2,5,2,1,1,0,
20190604,D1,10,fungicide,Ev,3,3,2,0,1,0,
20190604,D1,10,fungicide,Ev,A,3,0,0,1,0,
20190604,D1,1,water,Ev,1,5,3,0,1,0,
20190604,D1,1,water,Ev,2,5,2,0,1,0,
20190604,D1,1,water,Ev,3,5,1,0,1,0,
20190604,D1,1,water,Ev,A,6,4,0,1,0,
20190604,D1,2,water,Ev,1,5,1,0,1,0,
20190604,D1,2,water,Ev,2,4,0,0,1,0,
20190604,D1,2,water,Ev,3,5,0,0,1,0,
20190604,D1,2,water,Ev,A,3,0,0,1,0,
20190604,D1,3,water,Ev,1,4,0,0,1,0,
20190604,D1,3,water,Ev,2,4,0,0,1,0,
20190604,D1,3,water,Ev,3,2,0,0,1,0,
20190604,D1,3,water,Ev,A,7,3,0,1,0,
20190604,D1,4,water,Ev,1,5,0,0,1,0,
20190604,D1,4,water,Ev,2,6,0,0,1,0,
20190604,D1,4,water,Ev,3,5,0,0,1,0,
20190604,D1,4,water,Ev,A,7,0,0,1,0,
20190604,D1,5,water,Ev,1,5,0,0,1,0,
20190604,D1,5,water,Ev,2,4,0,0,1,0,
20190604,D1,5,water,Ev,3,4,0,0,1,0,
20190604,D1,5,water,Ev,A,7,1,0,1,0,
20190604,D1,6,water,Ev,1,3,0,0,1,0,
20190604,D1,6,water,Ev,2,5,1,0,1,0,
20190604,D1,6,water,Ev,3,3,3,0,1,0,
20190604,D1,6,water,Ev,A,6,2,0,1,0,
20190604,D1,7,water,Ev,1,6,3,0,1,0,
20190604,D1,7,water,Ev,2,5,3,0,1,0,
20190604,D1,7,water,Ev,3,3,2,0,1,0,
20190604,D1,7,water,Ev,A,6,2,0,0,0,only one green tiller
20190604,D1,8,water,Ev,1,6,0,0,1,0,
20190604,D1,8,water,Ev,2,7,1,1,1,0,
20190604,D1,8,water,Ev,3,3,1,0,1,0,
20190604,D1,8,water,Ev,A,4,0,0,1,0,
20190604,D1,9,water,Ev,1,3,1,1,1,0,
20190604,D1,9,water,Ev,2,6,1,1,1,0,
20190604,D1,9,water,Ev,3,6,0,0,1,0,
20190604,D1,9,water,Ev,A,5,2,0,1,0,
20190604,D1,10,water,Ev,1,5,1,0,1,0,
20190604,D1,10,water,Ev,2,4,2,0,1,0,
20190604,D1,10,water,Ev,3,5,0,0,1,0,
20190604,D1,10,water,Ev,A,4,0,0,1,0,
20190604,D2,1,fungicide,Ev,1,3,0,0,1,0,
20190604,D2,1,fungicide,Ev,2,2,1,0,1,0,
20190604,D2,1,fungicide,Ev,3,7,1,0,1,0,
20190604,D2,1,fungicide,Ev,A,8,2,0,1,0,
20190604,D2,2,fungicide,Ev,1,7,1,0,1,0,
20190604,D2,2,fungicide,Ev,2,6,0,0,1,0,
20190604,D2,2,fungicide,Ev,3,5,0,0,1,0,
20190604,D2,2,fungicide,Ev,A,3,0,0,1,0,
20190604,D2,3,fungicide,Ev,1,4,0,0,1,0,
20190604,D2,3,fungicide,Ev,2,5,0,0,1,0,
20190604,D2,3,fungicide,Ev,3,6,0,0,1,0,
20190604,D2,3,fungicide,Ev,A,4,0,0,1,0,
20190604,D2,4,fungicide,Ev,1,4,0,0,1,0,
20190604,D2,4,fungicide,Ev,2,7,2,1,1,0,
20190604,D2,4,fungicide,Ev,3,3,0,0,1,0,
20190604,D2,4,fungicide,Ev,A,4,0,0,1,0,
20190604,D2,5,fungicide,Ev,1,6,0,0,1,0,
20190604,D2,5,fungicide,Ev,2,5,0,0,1,0,
20190604,D2,5,fungicide,Ev,3,7,1,0,1,0,
20190604,D2,5,fungicide,Ev,A,6,1,0,1,0,
20190604,D2,6,fungicide,Ev,1,6,1,0,1,0,
20190604,D2,6,fungicide,Ev,2,5,1,0,1,0,
20190604,D2,6,fungicide,Ev,3,4,1,0,1,0,
20190604,D2,6,fungicide,Ev,A,8,3,0,1,0,
20190604,D2,7,fungicide,Ev,1,3,1,0,1,0,
20190604,D2,7,fungicide,Ev,2,7,1,0,1,0,
20190604,D2,7,fungicide,Ev,3,8,1,0,1,0,
20190604,D2,7,fungicide,Ev,A,7,2,0,1,0,
20190604,D2,8,fungicide,Ev,1,3,0,0,1,0,
20190604,D2,8,fungicide,Ev,2,5,0,0,1,0,
20190604,D2,8,fungicide,Ev,3,5,1,0,1,0,
20190604,D2,8,fungicide,Ev,A,4,1,0,1,0,
20190604,D2,9,fungicide,Ev,1,5,0,0,1,0,
20190604,D2,9,fungicide,Ev,2,6,1,0,1,0,
20190604,D2,9,fungicide,Ev,3,5,0,0,1,0,
20190604,D2,9,fungicide,Ev,A,4,0,0,1,0,
20190604,D2,10,fungicide,Ev,1,6,0,0,1,0,
20190604,D2,10,fungicide,Ev,2,6,0,0,1,0,
20190604,D2,10,fungicide,Ev,3,6,1,0,1,0,
20190604,D2,10,fungicide,Ev,A,3,1,0,1,0,
20190604,D2,1,water,Ev,1,5,2,0,1,0,
20190604,D2,1,water,Ev,2,5,0,0,1,0,
20190604,D2,1,water,Ev,3,3,0,0,1,0,
20190604,D2,1,water,Ev,A,7,5,0,1,0,
20190604,D2,2,water,Ev,1,4,3,1,1,0,
20190604,D2,2,water,Ev,2,5,1,1,1,0,
20190604,D2,2,water,Ev,3,5,2,0,1,0,
20190604,D2,2,water,Ev,A,6,1,0,1,0,
20190604,D2,3,water,Ev,1,5,0,0,1,0,
20190604,D2,3,water,Ev,2,6,1,0,1,0,
20190604,D2,3,water,Ev,3,7,1,0,1,0,
20190604,D2,3,water,Ev,A,7,3,0,1,0,
20190604,D2,4,water,Ev,1,0,0,0,0,0,dead
20190604,D2,4,water,Ev,2,6,2,0,1,0,
20190604,D2,4,water,Ev,3,6,3,0,1,0,
20190604,D2,4,water,Ev,A,4,0,0,1,0,
20190604,D2,5,water,Ev,1,4,0,0,1,0,
20190604,D2,5,water,Ev,2,6,0,0,1,0,
20190604,D2,5,water,Ev,3,5,0,0,1,0,
20190604,D2,5,water,Ev,A,6,2,0,1,0,
20190604,D2,6,water,Ev,1,5,0,0,1,0,
20190604,D2,6,water,Ev,2,7,2,0,1,0,
20190604,D2,6,water,Ev,3,5,0,0,1,0,
20190604,D2,6,water,Ev,A,8,3,0,1,0,
20190604,D2,7,water,Ev,1,5,0,0,1,0,
20190604,D2,7,water,Ev,2,6,0,0,1,0,
20190604,D2,7,water,Ev,3,5,0,0,1,0,
20190604,D2,7,water,Ev,A,4,0,0,1,0,
20190604,D2,8,water,Ev,1,4,2,0,1,0,
20190604,D2,8,water,Ev,2,3,1,0,1,0,
20190604,D2,8,water,Ev,3,3,2,0,1,0,
20190604,D2,8,water,Ev,A,6,6,1,1,0,
20190604,D2,9,water,Ev,1,4,0,0,1,0,
20190604,D2,9,water,Ev,2,6,3,0,1,0,
20190604,D2,9,water,Ev,3,5,2,0,1,0,
20190604,D2,9,water,Ev,A,4,4,0,1,0,
20190604,D2,10,water,Ev,1,4,2,0,1,0,
20190604,D2,10,water,Ev,2,6,2,0,1,0,
20190604,D2,10,water,Ev,3,6,1,0,1,0,
20190604,D2,10,water,Ev,A,4,0,0,1,0,
20190604,D3,1,fungicide,Ev,1,6,3,0,1,0,
20190604,D3,1,fungicide,Ev,2,4,2,0,1,0,
20190604,D3,1,fungicide,Ev,3,4,1,0,1,0,
20190604,D3,1,fungicide,Ev,A,7,3,1,1,0,
20190605,D3,2,fungicide,Ev,1,7,1,0,1,0,
20190605,D3,2,fungicide,Ev,2,7,2,0,1,0,
20190605,D3,2,fungicide,Ev,3,5,1,0,1,0,
20190605,D3,2,fungicide,Ev,A,7,3,1,1,0,
20190604,D3,3,fungicide,Ev,1,6,1,0,1,0,
20190604,D3,3,fungicide,Ev,2,7,1,0,1,0,
20190604,D3,3,fungicide,Ev,3,7,1,0,1,0,
20190604,D3,3,fungicide,Ev,A,6,4,1,1,0,
20190605,D3,4,fungicide,Ev,1,6,0,0,1,0,
20190605,D3,4,fungicide,Ev,2,5,0,0,1,0,
20190605,D3,4,fungicide,Ev,3,6,1,0,1,0,
20190605,D3,4,fungicide,Ev,A,3,1,1,1,0,
20190604,D3,5,fungicide,Ev,1,4,1,0,1,0,
20190604,D3,5,fungicide,Ev,2,8,1,0,1,0,
20190604,D3,5,fungicide,Ev,3,5,1,0,1,0,
20190604,D3,5,fungicide,Ev,A,9,2,0,1,0,
20190605,D3,6,fungicide,Ev,1,5,1,0,1,0,
20190605,D3,6,fungicide,Ev,2,7,1,0,1,0,
20190605,D3,6,fungicide,Ev,3,6,3,0,1,0,
20190605,D3,6,fungicide,Ev,A,7,3,1,1,0,
20190605,D3,7,fungicide,Ev,1,6,2,0,1,0,
20190605,D3,7,fungicide,Ev,2,4,1,0,1,0,
20190605,D3,7,fungicide,Ev,3,5,2,0,1,0,
20190605,D3,7,fungicide,Ev,A,7,3,0,1,0,
20190605,D3,8,fungicide,Ev,1,5,2,0,1,0,
20190605,D3,8,fungicide,Ev,2,6,1,0,1,0,
20190605,D3,8,fungicide,Ev,3,7,3,0,1,0,
20190605,D3,8,fungicide,Ev,A,7,3,0,1,0,
20190605,D3,9,fungicide,Ev,1,4,0,0,1,0,
20190605,D3,9,fungicide,Ev,2,5,2,0,1,0,
20190605,D3,9,fungicide,Ev,3,6,2,0,1,0,
20190605,D3,9,fungicide,Ev,A,7,4,0,1,0,
20190605,D3,10,fungicide,Ev,1,6,2,0,1,0,
20190605,D3,10,fungicide,Ev,2,6,2,0,1,0,
20190605,D3,10,fungicide,Ev,3,7,2,0,1,0,
20190605,D3,10,fungicide,Ev,A,5,2,0,1,0,
20190604,D3,1,water,Ev,1,5,2,0,1,0,
20190604,D3,1,water,Ev,2,5,1,0,1,0,
20190604,D3,1,water,Ev,3,4,1,0,1,0,
20190604,D3,1,water,Ev,A,6,2,0,1,0,
20190605,D3,2,water,Ev,1,6,3,0,1,0,
20190605,D3,2,water,Ev,2,6,2,0,1,0,
20190605,D3,2,water,Ev,3,6,2,0,1,0,
20190605,D3,2,water,Ev,A,7,2,0,1,0,
20190605,D3,3,water,Ev,1,4,1,1,1,0,
20190605,D3,3,water,Ev,2,6,2,0,1,0,
20190605,D3,3,water,Ev,3,6,2,0,1,0,
20190605,D3,3,water,Ev,A,8,4,1,1,0,
20190605,D3,4,water,Ev,1,7,2,0,1,0,
20190605,D3,4,water,Ev,2,6,0,0,1,0,
20190605,D3,4,water,Ev,3,6,2,0,1,0,
20190605,D3,4,water,Ev,A,5,2,1,1,0,
20190605,D3,5,water,Ev,1,3,1,0,1,0,
20190605,D3,5,water,Ev,2,6,4,0,1,0,
20190605,D3,5,water,Ev,3,5,2,0,1,0,
20190605,D3,5,water,Ev,A,6,2,0,1,0,
20190605,D3,6,water,Ev,1,6,2,0,1,0,
20190605,D3,6,water,Ev,2,4,1,0,1,0,
20190605,D3,6,water,Ev,3,5,1,0,1,0,
